typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20150101,2015,52,2015,156,,,M,,842,,,0,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,636374.601,True,,False,11369627279.0,,11369627279.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,40,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,45343.123,True,-1,,0.0,False,48.0,False,,False,40690.0,,40690.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,76,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,145066.563,True,-1,,0.0,False,163.0,False,,False,253620.0,,253620.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,246,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,913063.166,True,-1,,0.0,False,329.0,False,,False,933453.0,,933453.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,710,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,30518.088,True,-1,,0.0,False,7.0,False,,False,41044.0,,41044.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,752,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,307476.364,True,-1,,0.0,False,258.0,False,,False,481775.0,,481775.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,188,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,30986.417,True,-1,,0.0,False,11.092,True,,False,41002.0,,41002.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,208,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,352504.2,True,-1,,0.0,False,33.25,True,,False,247455.0,,247455.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,233,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,454088.058,True,-1,,0.0,False,35.034,True,,False,409320.0,,409320.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,348,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,13308.109,True,-1,,0.0,False,60.311,True,,False,17045.0,,17045.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,376,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,442530212.778,True,-1,,0.0,False,11591.271,True,,False,1161365862.0,,1161365862.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,392,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,12271797.268,True,-1,,0.0,False,5471.434,True,,False,20666529.0,,20666529.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,484,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,660778.89,True,-1,,0.0,False,260.011,True,,False,800442.0,,800442.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,490,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,485326785.331,True,-1,,0.0,False,113771.289,True,,False,1027808396.0,,1027808396.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,528,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,25634935.26,True,-1,,0.0,False,20531.057,True,,False,57556157.0,,57556157.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,579,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,12177.039,True,-1,,0.0,False,18.748,True,,False,23906.0,,23906.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,704,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,314926.322,True,-1,,0.0,False,66.048,True,,False,458573.0,,458573.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,724,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,534071.301,True,-1,,0.0,False,264.023,True,,False,534390.0,,534390.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,757,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,182825.513,True,-1,,0.0,False,113.153,True,,False,411871.0,,411871.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,380,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,247750.75,True,-1,,0.0,False,307.05,True,,False,215603.0,,215603.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,586,,,H4,HS,True,8542,,,,C00,,0 ,0,,5,,167.831,True,-1,,0.0,False,2.0,False,,False,104.0,,104.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,643,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,1.0,False,,False,1163.0,,1163.0,0,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,826,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,1610.557,True,0.0,False,2947509.0,0.0,2947509.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,608,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,16154.823,True,0.0,False,145232619.0,0.0,145232619.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,528,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,19679.215,True,0.0,False,55382643.0,0.0,55382643.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,246,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,549.221,True,0.0,False,8322827.0,0.0,8322827.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,410,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,3684.063,True,0.0,False,30645807.0,0.0,30645807.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,344,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,161261.229,True,0.0,False,1757300731.0,0.0,1757300731.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,124,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,124.582,True,0.0,False,534384.0,0.0,534384.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,458,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,8141.694,True,0.0,False,62030373.0,0.0,62030373.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,702,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,12796.961,True,0.0,False,98233936.0,0.0,98233936.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,704,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,357.001,True,0.0,False,14320403.0,0.0,14320403.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,422,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,0.06,True,0.0,False,300.0,0.0,300.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,616,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,11.5,True,0.0,False,18348.0,0.0,18348.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,554,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,0.358,True,0.0,False,714.0,0.0,714.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,446,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,517.55,True,0.0,False,1078130.0,0.0,1078130.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,784,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,59.018,True,0.0,False,19256.0,0.0,19256.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,440,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,2.117,True,0.0,False,7385.0,0.0,7385.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,792,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,16.0,False,0.0,False,2229.0,0.0,2229.0,2,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,710,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,4.0,False,0.0,False,15481.0,0.0,15481.0,2,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,470,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,52.0,False,0.0,False,191130.0,0.0,191130.0,2,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,428,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,88.0,False,0.0,False,22347.0,0.0,22347.0,2,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,882,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,53.0,False,0.0,False,242055.0,0.0,242055.0,2,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,788,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,3.0,False,0.0,False,1444.0,0.0,1444.0,2,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,372,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,188.0,False,0.0,False,11497664.0,0.0,11497664.0,2,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,156,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,361357.0,False,0.0,False,7839909.0,0.0,7839909.0,2,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,360,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,1.0,False,0.0,False,2699.0,0.0,2699.0,2,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,144,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,4.0,False,0.0,False,12638.0,0.0,12638.0,2,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,100,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,2859.0,False,0.0,False,2586519.0,0.0,2586519.0,2,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,579,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,19.129,True,0.0,False,15994.0,0.0,15994.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,842,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,230848.995,True,0.0,False,4071185559.0,0.0,4071185559.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,0,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,0.0,True,-1,,0.0,False,0.0,True,0.0,False,8696121253.0,0.0,8696121253.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,368,,,H4,HS,True,8542,,,,C00,,0,0,,8,,11.216,True,-1,,0.0,False,0.0,True,0.0,False,3000.0,0.0,3000.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,251,,,H4,HS,True,8542,,,,C00,,0,0,,5,,483737.39,True,-1,,0.0,False,239.313,True,0.0,False,1230035.0,0.0,1230035.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,699,,,H4,HS,True,8542,,,,C00,,0,0,,5,,56060.648,True,-1,,0.0,False,200.306,True,0.0,False,64365.0,0.0,64365.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,490,,,H4,HS,True,8542,,,,C00,,0,0,,5,,95159950.576,True,-1,,0.0,False,16750.098,True,0.0,False,189551695.0,0.0,189551695.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,757,,,H4,HS,True,8542,,,,C00,,0,0,,5,,554028.608,True,-1,,0.0,False,34.918,True,0.0,False,676006.0,0.0,676006.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,752,,,H4,HS,True,8542,,,,C00,,0,0,,5,,1361548.92,True,-1,,0.0,False,1318.0,False,0.0,False,1548005.0,0.0,1548005.0,2,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,586,,,H4,HS,True,8542,,,,C00,,0,0,,5,,157.658,True,-1,,0.0,False,1.0,False,0.0,False,100.0,0.0,100.0,2,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,76,,,H4,HS,True,8542,,,,C00,,0,0,,5,,145298.349,True,-1,,0.0,False,46.0,False,0.0,False,126760.0,0.0,126760.0,2,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,724,,,H4,HS,True,8542,,,,C00,,0,0,,5,,71864.139,True,-1,,0.0,False,138.0,False,0.0,False,82428.0,0.0,82428.0,2,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,276,,,H4,HS,True,8542,,,,C00,,0,0,,5,,8188587.495,True,-1,,0.0,False,5176.058,True,0.0,False,17652344.0,0.0,17652344.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,36,,,H4,HS,True,8542,,,,C00,,0,0,,5,,52607.796,True,-1,,0.0,False,89.246,True,0.0,False,69729.0,0.0,69729.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,376,,,H4,HS,True,8542,,,,C00,,0,0,,5,,727011036.097,True,-1,,0.0,False,20358.974,True,0.0,False,2174768243.0,0.0,2174768243.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,233,,,H4,HS,True,8542,,,,C00,,0,0,,5,,13546.844,True,-1,,0.0,False,8.17,True,0.0,False,13966.0,0.0,13966.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,40,,,H4,HS,True,8542,,,,C00,,0,0,,5,,78838.013,True,-1,,0.0,False,43.039,True,0.0,False,220277.0,0.0,220277.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,56,,,H4,HS,True,8542,,,,C00,,0,0,,5,,10750073.163,True,-1,,0.0,False,6036.03,True,0.0,False,9683790.0,0.0,9683790.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,484,,,H4,HS,True,8542,,,,C00,,0,0,,5,,319123.507,True,-1,,0.0,False,283.095,True,0.0,False,630520.0,0.0,630520.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,380,,,H4,HS,True,8542,,,,C00,,0,0,,5,,215933.117,True,-1,,0.0,False,101.144,True,0.0,False,187179.0,0.0,187179.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,348,,,H4,HS,True,8542,,,,C00,,0,0,,5,,13816.81,True,-1,,0.0,False,9.89,True,0.0,False,19766.0,0.0,19766.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,764,,,H4,HS,True,8542,,,,C00,,0,0,,5,,5205594.21,True,-1,,0.0,False,931.274,True,0.0,False,7713250.0,0.0,7713250.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,392,,,H4,HS,True,8542,,,,C00,,0,0,,5,,12189150.996,True,-1,,0.0,False,3600.282,True,0.0,False,21526892.0,0.0,21526892.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,188,,,H4,HS,True,8542,,,,C00,,0,0,,5,,24900.556,True,-1,,0.0,False,11.258,True,0.0,False,37045.0,0.0,37045.0,6,False,True
